SID,SITE,ROW,TREE,CORE,TDEPTH,BDEPTH,NOTE,NO3,PH,EC,Sand,Clay,Silt
1,PARA,5,10,1,0,15,NOT PIEZO,1.7,6.04,207.5,56.015107826,6.7330518601,37.2518403139
2,PARA,5,10,1,15,30,NOT PIEZO,0.2,6.05,161.5,68.5662541985,7.498033387,23.9357124146
3,PARA,5,10,1,30,45,NOT PIEZO,0.4,5.36,145.5,59.9171693527,6.7948443047,33.2879863427
4,PARA,5,10,1,45,60,NOT PIEZO,0.2,5.09,247.3,58.1021853439,6.4898586013,35.4079560548
5,PARA,5,10,1,60,75,NOT PIEZO,0.2,5.36,168,65.7473845203,5.8741780921,28.3784373876
6,PARA,5,10,1,75,81,NOT PIEZO,ND,6.2,113.1,59.1902994145,4.9032801007,35.9064204848
7,PARA,5,10,2,19,24,NOT PIEZO,ND,6.34,245,66.8187880048,5.4065824429,27.7746295523
8,PARA,5,10,2,24,31,NOT PIEZO,ND,6.53,214.4,65.2284304745,4.8986252193,29.8729443062
9,PARA,5,10,2,31,40,NOT PIEZO,ND,6.94,314.7,52.5160449054,5.9322576514,41.5516974432
10,PARA,5,10,2,40,47,NOT PIEZO,ND,7.97,193.9,87.6133825425,3.2437943858,9.1428230717
11,PARA,5,10,2,47,67,NOT PIEZO,ND,8.22,260.1,85.9608365096,2.0708562285,11.968307262
12,PARA,5,10,2,67,71,NOT PIEZO,ND,7.95,1229,45.785771863,5.5736653028,48.6405628342
13,PARA,5,10,2,71,82,NOT PIEZO,ND,7.9,726.3,30.315845117,11.3749340443,58.3092208388
14,PARA,5,10,2,82,89,NOT PIEZO,ND,7.86,332.2,51.6405469881,0.9666551214,47.3927978905
15,PARA,5,10,3,9,25,NOT PIEZO,ND,7.75,125,95.3814078589,0.4273622647,4.1912298764
16,PARA,5,10,3,25,36,NOT PIEZO,3.7,6.26,177,95.6481228168,1.5902683182,2.761608865
17,PARA,5,10,3,36,54,NOT PIEZO,2.5,6.49,225,28.5988074084,4.1388312074,67.2623613843
18,PARA,5,10,3,54,71,NOT PIEZO,4.4,6.97,397.4,19.6735688787,11.594524984,68.7319061373
19,PARA,5,10,3,71,78,NOT PIEZO,0.9,8.06,112.3,92.7301134326,1.5710571444,5.698829423
