site,row,tree,core,rec
PARA,5,10,1,0.81
PARA,5,10,2,0.89
PARA,5,10,3,0.78
PARA,5,10,4,0.81
PARA,5,10,5,0.866666667
PARA,15,10,1,0.64
PARA,15,10,2,0.63
PARA,15,10,3,0.77
PARA,15,10,4,0.82
PARA,25,10,1,0.69
PARA,25,10,2,0.97
PARA,25,10,3,0.62
PARA,25,10,4,0.75
PARA,5,20,1,0.93
PARA,5,20,2,0.88
PARA,5,20,3,0.77
PARA,5,20,4,0.78
PARA,15,20,1,0.85
PARA,15,20,2,0.76
PARA,15,20,3,0.84
PARA,15,20,4,0.91
PARA,25,20,1,0.98
PARA,25,20,2,0.6
PARA,25,20,3,0.8
PARA,25,20,4,0.89
PARA,5,30,1,0.96
PARA,5,30,2,0.83
PARA,5,30,3,0.6
PARA,5,30,4,0.825
PARA,15,30,1,0.86
PARA,15,30,2,0.81
PARA,15,30,3,0.78
PARA,15,30,4,0.96
PARA,25,30,1,0.84
PARA,25,30,2,0.7
PARA,25,30,3,1
PARA,25,30,4,1
